2025-05-13 17:11:42,257 - utils.page_setting - INFO - 日志文件已创建: E:\pythonProject\outsource\balenciaga_monitor\logs\mytheresa\mytheresa_20250513_171142.log
2025-05-13 17:11:42,257 - utils.page_setting - INFO - 未找到历史库存数据目录: E:\pythonProject\outsource\balenciaga_monitor\data\mytheresa\inventory
2025-05-13 17:11:42,258 - utils.page_setting - INFO - mytheresa - 库存监控已初始化
2025-05-13 17:11:42,260 - utils.page_setting - INFO - 开始监控 https://api.mytheresa.com/api
2025-05-13 17:11:42,261 - utils.page_setting - INFO - 正在获取商品目录: https://api.mytheresa.com/api
2025-05-13 17:11:48,389 - utils.page_setting - INFO - 找到 78 个商品元素
2025-05-13 17:11:48,392 - utils.page_setting - DEBUG - 开始解析商品目录数据
2025-05-13 17:12:09,480 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-green-p00906279
2025-05-13 17:12:09,481 - utils.page_setting - DEBUG - 找到商品: Sunday Molded mules, URL: https://www.mytheresa.com/mo/en/men/balenciaga-sunday-molded-mules-black-p00906276
2025-05-13 17:12:09,481 - utils.page_setting - DEBUG - 找到商品: Runner sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-sneakers-white-p00937108
2025-05-13 17:12:09,481 - utils.page_setting - DEBUG - 找到商品: Runner Graffiti printed sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-graffiti-printed-sneakers-black-p00937106
2025-05-13 17:12:09,481 - utils.page_setting - DEBUG - 找到商品: Runner Graffiti distressed sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-graffiti-distressed-sneakers-white-p00937107
2025-05-13 17:12:09,481 - utils.page_setting - DEBUG - 找到商品: Triple S Mold sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-mold-sneakers-black-p00856457
2025-05-13 17:12:09,482 - utils.page_setting - DEBUG - 找到商品: Cargo mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-cargo-mesh-sneakers-beige-p00906283
2025-05-13 17:12:09,482 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-white-p00906281
2025-05-13 17:12:09,482 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-black-p00900180
2025-05-13 17:12:09,482 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-worn-out-mesh-sneakers-multicoloured-p00926232
2025-05-13 17:12:09,482 - utils.page_setting - DEBUG - 找到商品: Biker embossed leather knee-high boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-biker-embossed-leather-knee-high-boots-black-p00859154
2025-05-13 17:12:09,483 - utils.page_setting - DEBUG - 找到商品: Romeo leather slippers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-romeo-leather-slippers-black-p00888848
2025-05-13 17:12:09,483 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-multicoloured-p00850977
2025-05-13 17:12:09,483 - utils.page_setting - DEBUG - 找到商品: 3XL ski sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-ski-sneakers-black-p00896702
2025-05-13 17:12:09,483 - utils.page_setting - DEBUG - 找到商品: Alaska Low snow boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-alaska-low-snow-boots-black-p00896713
2025-05-13 17:12:09,483 - utils.page_setting - DEBUG - 找到商品: Runner sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-runner-sneakers-multicoloured-p00899058
2025-05-13 17:12:09,484 - utils.page_setting - DEBUG - 找到商品: Bulldozer leather lace-up boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-bulldozer-leather-lace-up-boots-black-p00850827
2025-05-13 17:12:09,484 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-black-p00850983
2025-05-13 17:12:09,484 - utils.page_setting - DEBUG - 找到商品: Steroid Derby shoes, URL: https://www.mytheresa.com/mo/en/men/balenciaga-steroid-derby-shoes-black-p00871950
2025-05-13 17:12:09,484 - utils.page_setting - DEBUG - 找到商品: 3XL sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-sneakers-white-p00868281
2025-05-13 17:12:09,484 - utils.page_setting - DEBUG - 找到商品: 3XL mesh sneaker mules, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-mesh-sneaker-mules-black-p00856471
2025-05-13 17:12:09,484 - utils.page_setting - DEBUG - 找到商品: x Crocs platform slides, URL: https://www.mytheresa.com/mo/en/men/balenciaga-x-crocs-platform-slides-black-p00824969
2025-05-13 17:12:09,485 - utils.page_setting - DEBUG - 找到商品: 3XL mesh sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-3xl-mesh-sneakers-red-p00807230
2025-05-13 17:12:09,485 - utils.page_setting - DEBUG - 找到商品: Leopold satin flats, URL: https://www.mytheresa.com/mo/en/men/balenciaga-leopold-satin-flats-black-p00807241
2025-05-13 17:12:09,485 - utils.page_setting - DEBUG - 找到商品: Steroid lace-up boots, URL: https://www.mytheresa.com/mo/en/men/balenciaga-steroid-lace-up-boots-blue-p00766853
2025-05-13 17:12:09,485 - utils.page_setting - DEBUG - 找到商品: Track sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-track-sneakers-black-p00766848
2025-05-13 17:12:09,485 - utils.page_setting - DEBUG - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-white-p00747707
2025-05-13 17:12:09,486 - utils.page_setting - DEBUG - 找到商品: Speed Lace-Up sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-lace-up-sneakers-black-p00741990
2025-05-13 17:12:09,486 - utils.page_setting - DEBUG - 找到商品: Speed 2.0 Graffiti sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-2-0-graffiti-sneakers-black-p00741562
2025-05-13 17:12:09,487 - utils.page_setting - DEBUG - 找到商品: Speed 2.0 lace-up sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-2-0-lace-up-sneakers-black-p00721775
2025-05-13 17:12:09,488 - utils.page_setting - DEBUG - 找到商品: Speed 2.0 sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-speed-2-0-sneakers-black-p00721772
2025-05-13 17:12:09,488 - utils.page_setting - DEBUG - 找到商品: Triple S sneakers, URL: https://www.mytheresa.com/mo/en/men/balenciaga-triple-s-sneakers-black-p00721768
